01-Jan-2011 37
02-Jan-2011 28
03-Jan-2011 35
04-Jan-2011 35
05-Jan-2011 33
06-Jan-2011 29
07-Jan-2011 33
08-Jan-2011 30
09-Jan-2011 28
10-Jan-2011 29
11-Jan-2011 36
12-Jan-2011 27
13-Jan-2011 29
14-Jan-2011 27
15-Jan-2011 31
16-Jan-2011 27
17-Jan-2011 36
18-Jan-2011 29
19-Jan-2011 28
20-Jan-2011 30
21-Jan-2011 32
22-Jan-2011 28
23-Jan-2011 37
24-Jan-2011 30
25-Jan-2011 30
26-Jan-2011 27
27-Jan-2011 30
28-Jan-2011 27
29-Jan-2011 32
30-Jan-2011 35
31-Jan-2011 33
01-Feb-2011 27
02-Feb-2011 27
03-Feb-2011 35
04-Feb-2011 36
05-Feb-2011 32
06-Feb-2011 28
07-Feb-2011 36
08-Feb-2011 30
09-Feb-2011 30
10-Feb-2011 35
11-Feb-2011 27
12-Feb-2011 27
13-Feb-2011 34
14-Feb-2011 33
15-Feb-2011 32
16-Feb-2011 35
17-Feb-2011 34
18-Feb-2011 35
19-Feb-2011 30
20-Feb-2011 34
21-Feb-2011 33
22-Feb-2011 31
23-Feb-2011 27
24-Feb-2011 35
25-Feb-2011 30
26-Feb-2011 33
27-Feb-2011 35
28-Feb-2011 28
01-Mar-2011 28
02-Mar-2011 33
03-Mar-2011 32
04-Mar-2011 36
05-Mar-2011 35
06-Mar-2011 35
07-Mar-2011 27
08-Mar-2011 27
09-Mar-2011 27
10-Mar-2011 35
11-Mar-2011 37
12-Mar-2011 34
13-Mar-2011 28
14-Mar-2011 34
15-Mar-2011 28
16-Mar-2011 28
17-Mar-2011 34
18-Mar-2011 30
19-Mar-2011 34
20-Mar-2011 35
21-Mar-2011 33
22-Mar-2011 35
23-Mar-2011 29
24-Mar-2011 35
25-Mar-2011 37
26-Mar-2011 36
27-Mar-2011 27
28-Mar-2011 31
29-Mar-2011 31
30-Mar-2011 34
31-Mar-2011 33
01-Apr-2011 35
02-Apr-2011 31
03-Apr-2011 29
04-Apr-2011 27
05-Apr-2011 35
06-Apr-2011 29
07-Apr-2011 31
08-Apr-2011 33
09-Apr-2011 29
10-Apr-2011 34
11-Apr-2011 32
12-Apr-2011 28
13-Apr-2011 35
14-Apr-2011 28
15-Apr-2011 30
16-Apr-2011 29
17-Apr-2011 32
18-Apr-2011 28
19-Apr-2011 31
20-Apr-2011 28
21-Apr-2011 28
22-Apr-2011 35
23-Apr-2011 30
24-Apr-2011 33
25-Apr-2011 37
26-Apr-2011 31
27-Apr-2011 34
28-Apr-2011 35
29-Apr-2011 31
30-Apr-2011 34
01-May-2011 28
02-May-2011 37
03-May-2011 29
04-May-2011 29
05-May-2011 35
06-May-2011 32
07-May-2011 35
08-May-2011 31
09-May-2011 30
10-May-2011 27
11-May-2011 34
12-May-2011 31
13-May-2011 31
14-May-2011 33
15-May-2011 27
16-May-2011 30
17-May-2011 35
18-May-2011 34
19-May-2011 28
20-May-2011 28
21-May-2011 28
22-May-2011 27
23-May-2011 31
24-May-2011 34
25-May-2011 34
26-May-2011 32
27-May-2011 28
28-May-2011 33
29-May-2011 28
30-May-2011 28
31-May-2011 28
01-Jun-2011 28
02-Jun-2011 28
03-Jun-2011 29
04-Jun-2011 30
05-Jun-2011 30
06-Jun-2011 29
07-Jun-2011 29
08-Jun-2011 36
09-Jun-2011 34
10-Jun-2011 33
11-Jun-2011 29
12-Jun-2011 29
13-Jun-2011 27
14-Jun-2011 37
15-Jun-2011 34
16-Jun-2011 33
17-Jun-2011 30
18-Jun-2011 28
19-Jun-2011 33
20-Jun-2011 37
21-Jun-2011 28
22-Jun-2011 29
23-Jun-2011 31
24-Jun-2011 27
25-Jun-2011 34
26-Jun-2011 31
27-Jun-2011 37
28-Jun-2011 31
29-Jun-2011 33
30-Jun-2011 28
01-Jul-2011 31
02-Jul-2011 28
03-Jul-2011 35
04-Jul-2011 36
05-Jul-2011 30
06-Jul-2011 34
07-Jul-2011 30
08-Jul-2011 32
09-Jul-2011 36
10-Jul-2011 33
11-Jul-2011 30
12-Jul-2011 30
13-Jul-2011 31
14-Jul-2011 31
15-Jul-2011 30
16-Jul-2011 33
